,price,speed,hd,ram,screen,ads,trend
price,1,0.300976459,0.430257794,0.622748245,0.296041474,0.054540473,-0.199986935
speed,0.300976459,1,0.372304101,0.234760496,0.189074122,-0.21523206,0.405438333
hd,0.430257794,0.372304101,1,0.777726299,0.23280153,-0.323222005,0.577790128
ram,0.622748245,0.234760496,0.777726299,1,0.20895374,-0.181669713,0.276843843
screen,0.296041474,0.189074122,0.23280153,0.20895374,1,-0.093919429,0.188614445
ads,0.054540473,-0.21523206,-0.323222005,-0.181669713,-0.093919429,1,-0.318552508
trend,-0.199986935,0.405438333,0.577790128,0.276843843,0.188614445,-0.318552508,1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
